step,loss,embedding_grad_norm,output_proj_grad_norm,embedding_grad_mean,output_proj_grad_mean,embedding_grad_abs_mean,output_proj_grad_abs_mean
1,0.0,0.4303576648235321,0.6176128387451172,7.41073868937292e-15,5.64524386167508e-14,4.8861707909964025e-05,5.5243294809770305e-06
2,0.0,0.5916061401367188,1.6810275316238403,8.132383655379272e-15,9.548059466278538e-15,6.272835889831185e-05,5.686195891030366e-06
3,0.0,0.3436039388179779,1.0836941003799438,-8.68749516769185e-15,8.424699807674414e-15,3.542412741808221e-05,6.098941412346903e-06
4,0.0,0.28999364376068115,1.433666467666626,1.5931700403370996e-14,-9.855489227451539e-15,2.8873571864096448e-05,6.669747108389856e-06
5,0.0,0.18774394690990448,0.856107234954834,4.865899350114944e-16,-3.448556070155713e-14,1.7458132788306102e-05,6.523646334244404e-06
6,0.0,0.15452341735363007,0.738373875617981,-1.1449174941446927e-16,7.859842334270728e-14,1.4560648196493275e-05,6.337928425637074e-06
7,0.0,0.1510365903377533,1.4510911703109741,-1.457167719820518e-15,2.8515147328881524e-14,1.4370902135851793e-05,6.791978194087278e-06
8,0.0,0.20049640536308289,2.2135462760925293,7.438494264988549e-15,-1.9253046185596038e-15,1.699789754638914e-05,6.594088517886121e-06
9,0.0,0.05669458210468292,0.7797354459762573,1.0954778750793537e-15,-8.653313153105403e-15,5.568160759139573e-06,6.553436378453625e-06
10,0.0,0.0505962073802948,0.7647219896316528,1.126052376343445e-15,2.9001503482799576e-14,4.21368577008252e-06,6.405899512174074e-06
11,0.0,0.11119910329580307,3.361711025238037,2.418204525511669e-15,-1.550434856455868e-14,1.0996967830578797e-05,6.476016551459907e-06
12,0.0,0.17481251060962677,2.170417308807373,-7.028232162920034e-15,-1.0413372909193891e-13,1.2327885997365229e-05,6.559459507116117e-06
13,0.0,0.03704359754920006,1.0054049491882324,-4.0158848468863084e-16,7.12718001071944e-15,3.63206254405668e-06,6.028800726198824e-06
14,0.0,0.05536583065986633,0.9863232374191284,-2.153225514556212e-15,1.0120562428470731e-13,4.610465111909434e-06,6.210549599927617e-06
15,0.0,0.016554847359657288,0.6662442684173584,-7.183923594888952e-16,1.8958011904573156e-15,2.372471726630465e-06,6.032160854374524e-06
16,0.0,0.0949137732386589,0.7505090236663818,-2.310651670001107e-15,2.503961935799298e-13,5.883030098630115e-06,6.376911642291816e-06
17,0.0,0.12867304682731628,1.6423922777175903,-1.3877787807814457e-16,3.1532721854639345e-13,9.021776349982247e-06,7.135230589483399e-06
18,0.0,0.01618947647511959,0.6831516623497009,-1.454999315475547e-16,-6.624436649184037e-14,2.157541530323215e-06,5.713306563848164e-06
19,0.0,0.09811598062515259,0.8977420330047607,-1.0651202142497596e-15,-6.836547929330028e-14,6.952556304895552e-06,6.034437319613062e-06
20,0.0,0.04235386103391647,0.5828997492790222,-6.483528991463317e-16,-3.2146323363652085e-15,2.2028993953426834e-06,5.560424597206293e-06
21,0.0,0.07363880425691605,0.4558061361312866,1.0260889360402814e-15,6.704666254695249e-14,2.2802148578193737e-06,5.211872576182941e-06
22,0.0,0.2796768844127655,0.9076690077781677,-3.8849132244500595e-15,-1.8663046233219002e-14,1.167580467154039e-05,5.6333701650146395e-06
23,0.0,0.015761317685246468,0.5343201756477356,-3.89011739487799e-16,5.044452201330256e-15,1.814469214878045e-06,5.323155619407771e-06
24,0.0,0.03542720898985863,0.46948835253715515,5.195496810550537e-16,-9.635280989956155e-15,1.7804524077291717e-06,5.112509370519547e-06
25,0.0,0.1585012972354889,0.3249625563621521,3.080218372031318e-16,6.221744311158545e-14,2.15220916288672e-06,4.919976163364481e-06
26,0.0,0.01559433713555336,0.4776737093925476,1.0148132334464322e-16,-5.431723711627921e-15,1.9993685782537796e-06,4.975042884325376e-06
27,0.0,0.048616062849760056,0.554159939289093,-1.1030672902867522e-15,1.0936184005909053e-13,3.311044110887451e-06,5.542155122384429e-06
28,0.0,0.01074566226452589,0.5269877910614014,3.6721927582084035e-16,-2.4298469933716794e-14,1.6626536307740025e-06,5.2713012337335385e-06
29,0.0,0.013650760985910892,1.0496171712875366,3.903127820947816e-18,-7.735333912035208e-14,1.8339881080464693e-06,5.33212732989341e-06
30,0.0,0.055096227675676346,0.9800294041633606,-1.7976072019809664e-16,2.1348854216569901e-13,4.0241252463601995e-06,6.449287866416853e-06
31,0.0,0.012151754461228848,0.4664354920387268,1.194790794079026e-16,-1.01685691218992e-15,1.6400763342971914e-06,4.556795374810463e-06
